MicroRNA	Sample_P004	Sample_P018	Sample_P010	Sample_P020	Sample_P015	Sample_P005	Sample_P007	Sample_P011	Sample_P009	Sample_P001	Sample_P006	Sample_P016	Sample_P019	Sample_P013	Sample_P012	Sample_P014	Sample_P017	Sample_P003	Sample_P002	Sample_P008
hsa-miR-199a-5p	665.5	4272.5	2634.5	3270	1772.5	1526.5	1147	7194.5	3714.5	1733.5	3652.5	3066	3118	10852.5	3070	3636.5	5254.5	2395.5	3312.5	893.5
hsa-miR-5680		1	1	2					2											
hsa-miR-6735-5p						1						1				1		1		
hsa-miR-4455		2	7					3	2			4		1	1		1		1	
hsa-miR-30a-5p	2753.5	16366	7363	51126.5	1604	4163	2890	17951	9050.5	2367	16961.5	12477	2630	27234.5	8659	8996	26399.5	9352	13738	1913.5
hsa-miR-3682-3p		1																		
hsa-miR-6844											2									
hsa-miR-6805-3p				2		1			1		1	2	4	1		1		1		1
hsa-miR-6718-5p				2																
hsa-miR-6828-5p																1				
hsa-miR-939-3p	1			1							1				1				1	
hsa-miR-136-3p	44	607	336	641	77	74	41	537	393	54	624	431	113	977	189	110	696	103	156	30
hsa-miR-519a-3p				11								2		1			1			
hsa-miR-339-3p	11	72	79	153	30	37	19	106	69	34	71	75	53	109	45	54	97	48	81	16
hsa-miR-5003-3p			1									1		1						
hsa-miR-1246	391.5	282	647.5	474.5	231	213	227.5	304.5	389.5	50	295.5	306	396.5	400	344.5	310	372.5	333	291	185
hsa-miR-576-5p	3	9	48	9	4	3	4	23	14	1	16	20	7	13	3	4	22	6	11	3
hsa-miR-3135b		1				1				2			1							
hsa-miR-129-1-3p						6	1				1	2	1	2	2	10	3	5	2	0.5
hsa-miR-6762-3p						1		1			1	2	1	2		1				
hsa-miR-876-5p									1											
hsa-miR-3145-5p					1									1						
hsa-miR-4436b-3p			1		2															
hsa-miR-4664-5p			1					2										1		
hsa-miR-6791-3p					1					1					1					
hsa-miR-3692-3p																	1			
hsa-miR-582-5p	6	71	161	165	15	7	13	58	55	1	60	103	20	77	15	12	24	8	40	6
hsa-miR-338-5p	6	159	78	56	2	4	8	100	25	4	47	70	5	91	18	44	186	29	58	5
hsa-miR-1470		2													1					
hsa-miR-543	2	11	10	9	1	2	1	13	6		12	6	2	11	1	5	13	5	8	
hsa-miR-4419b						1														
hsa-miR-4291											1		1							
hsa-miR-766-5p		1		2		4		1	2			3					1			
hsa-miR-151b	10.5	46.3333333333333	49.3333333333333	82.8333333333333	12	17.5	11	79.6666666666667	25.8333333333333	10	44.5	45.3333333333333	16.5	92.5	42	61.5	70.5	28.3333333333333	33.5	6.83333333333333
hsa-miR-211-3p		1						1										3		
hsa-miR-1271-3p		1	5					1				2		2	2					
hsa-miR-200c-3p	478	2229	2597	3815.5	666.5	1615	926	3110.5	1275	154	1796.5	1052	839	2221	1275	1440	1182.5	1091	2794	839.5
hsa-miR-301b	5	36	42	39	4	4	4.5	37	36		34	31.5	20	39	26	17	30	4	9	2
hsa-miR-96-5p	8	101	130	51	12	16	9	49	38	4	39	78	6	21	17	19	28	7	38	5
hsa-miR-5579-5p			1											2			1			
hsa-miR-887-3p	7	19	19	21	3	24	4	41	6	7	16	19	14	38	9	25	50	18	32	7
hsa-miR-618		2	5	1		1		2	4	2		9	2	2	1	2				
hsa-miR-1228-3p	1	1	6	1	2	5	2	3		1	3		4	1	4	1	3	2	1	1
hsa-miR-106a-3p					1												1		1	
hsa-miR-4721												1			1					
hsa-miR-549a			1	4					1			4	1	3	2				1	1
hsa-miR-491-5p	2	2	1	6	1	3	3	7	2		3	4	2	2	1	4	7	4	10	2
hsa-miR-548al		2	1	2				1			2	4		5		1	1	3		
hsa-miR-4685-3p	1		4	3		8	4	7	2	1	1	1	2		2	3	7	4	5	2
hsa-miR-6765-3p	345	1298	1273	1219	761	546	576	1151	519	137	1194	1301	672	1650	1086	720	1387	625	841	477
hsa-miR-511-3p	1	15	22	14	2	3	4	4	16		10	26	4	15	5	7	12	1	4	
hsa-miR-17-3p	11	106	167	71	16	11	11	89	74	11	68	96	28	119	54	34	71	13	46	13
hsa-miR-4286	584	1501	829	1514	1045	1082	876	1574	544	401	1357	996	988	1540	1707	1684	1874	1482	1333	863
hsa-miR-5585-5p				1																
hsa-miR-4652-3p													1							
hsa-miR-627-3p		2	4	1	1			4	1		1	4	3	1					4	
hsa-miR-124-5p		1							2											
hsa-miR-6887-3p						3		1	1					2		3	2		1	
hsa-miR-196b-3p		2						1												1
hsa-miR-4449		1		1		1						1		1	1		1	2	1	1
hsa-miR-196a-3p		2			1	1		16	7		8	2				1	1			
hsa-miR-3200-3p		9	11	8	2		3	3	1		6	6	2	7	2	1	7	4	3	
hsa-miR-641	1	3	7	5	2	2	1	9	1		2	8	2	5	4		2	2	6	2
hsa-miR-320e	2.33333333333333	1.5	7.5	4	3	1.83333333333333	4	4	2.5	1.5	1	5	1.33333333333333	5.5	3.5	8.33333333333333	8	4.83333333333333	3.33333333333333	4.5
hsa-miR-4804-3p													1							
hsa-miR-1285-3p	2	30	57	13	23	5	3	39	20		18	32	20	28	20	14	20	2	11	6
hsa-miR-1193			1																	
hsa-miR-548ba				1				9	3					1						
hsa-miR-30a-3p	55.5	488.5	188.5	1112.5	30.5	89	74	497.5	203.5	53	452	329	63.5	635.5	210	216.5	705	186.5	289	42
hsa-miR-548d-3p	2		3									1	1	2						
hsa-miR-1912																				1
hsa-miR-525-5p				2																
hsa-miR-6733-3p		1	2					1							2					
hsa-miR-548az-5p	1		3.25					2.5	1		0.5	1.5	1		1					
hsa-miR-3194-5p	1	2	4	1		1	1	2				3	2	1	1	1	1	1		
hsa-miR-20b-5p	1.66666666666667	11.3333333333333	33.3333333333333	70	2	3.66666666666667	3.16666666666667	18	17	1.33333333333333	14.6666666666667	21.6666666666667	5.5	15.6666666666667	7.66666666666667	6.33333333333333	24	3.33333333333333	21.6666666666667	2.33333333333333
hsa-miR-4725-3p													1							
hsa-miR-5699-5p	1	5	3	3	1		1	4	2		4	2	3	3	1		5		2	
hsa-miR-1260a	524.5	724	760	776	714.5	1071.5	507	1177	373	244	549.5	527.5	586.5	661.5	1390.5	1374.5	584.5	1363	858.5	481.5
hsa-miR-5692c			1																	
hsa-miR-3161			2																	
hsa-miR-3591-5p		1									2			4			2	3		
hsa-miR-7849-3p												1								
hsa-miR-503-3p				1					1					2					1	
hsa-miR-6731-3p		1	1													2	1		2	
hsa-miR-1307-3p	97	287	353	191	118	149	126	391	124	29	239	234	137	275	228	192	374	117	252	100
hsa-miR-6859-3p											2						1			
hsa-miR-6763-3p	6	9	8	6	7	8	3	6	3	1	9	7	5	6	7	5	8	2	1	2
hsa-miR-92a-1-5p	3	6	11	6	1	1	1	11	8	3	6	6	3	11	6	8	2	1	6	3
hsa-miR-376a-3p	9	60	33	42	17	17	11	61.5	18	12	43	27	19	122	13	21	102	23.5	30	9
hsa-miR-5000-5p													1							
hsa-miR-548h-3p	0.5	0.5	2.16666666666667	1	0.5	0.5		3.5	4.58333333333333	0.333333333333333	0.666666666666667	2.5		3.16666666666667		1.33333333333333	4.33333333333333	0.5	1.16666666666667	
hsa-miR-4297									1						1		1			
hsa-miR-3065-5p	8	11	56	3	3	15	8	6	6		24	7		18	12	3	15	5	6	7
hsa-miR-1	13	156	14	5		30	11	74			132	299		184	71	1	307	77	19	3
hsa-miR-125b-2-3p	130	888	394	540	283	341	168	1437	319	165	656	290	329	853	448	594	685	410	441	180
hsa-miR-548am-5p	0.25	1.66666666666667	3	0.833333333333333	0.25	0.25		2.16666666666667	1.41666666666667			2.08333333333333	0.25	1.41666666666667	0.666666666666667		2	0.333333333333333	0.583333333333333	
hsa-miR-2392								1												1
hsa-miR-548t-3p				0.5		0.5		0.5				1		0.5	1					
hsa-miR-323b-3p	3	5	8	6	12	17	3	10	1	1	5	8	17	8	6	3	30	12	13	3
hsa-miR-1273c		1										1								
hsa-miR-2682-3p																1				
hsa-miR-5690	1	2	4		1												1			
hsa-miR-4489																	1			
hsa-miR-6862-3p																1				
hsa-miR-4418									1								1			
hsa-miR-891a-5p		5		5		2				2	2	2		5			9	2	6	1
hsa-miR-194-3p			3					3	2											1
hsa-miR-183-3p	9	12	10	8	4	7	7	8	6	1	13	8	3	16	6	12	8	4	15	8
hsa-miR-378f	21	112.75	81.75	69	12.5	28	28.5	110.5	65.25	3	135.5	87.75	22.5	175.75	70.5	24.75	307.25	103.25	50.5	4.5
hsa-miR-3119					1															
hsa-miR-223-5p		2	27	11	3	1		2	3			20	1	2		2	8	1	3	
hsa-miR-3606-3p													1							
hsa-miR-4640-3p	1	2	3			12	8	6			3	1		5	4	2	5	3	1	6
hsa-miR-106b-5p	38	586	1007	465	95	63	66	473	403	24	365	665	151	477	248	139	489	75	179	38
hsa-miR-4712-5p																1				
hsa-miR-4680-5p								1												
hsa-miR-147b		10	38	8	3		1	2	4		5	23	4	2			18			
hsa-miR-518b			3	9	2			1		1	1	3	1					3	3	
hsa-miR-379-5p	6	32	17	41	10	9	3	36	28	3	53	17	14	68	18	8	65	10	13	2
hsa-miR-3126-5p				1									1	2				1		
hsa-miR-4758-5p																		1		
hsa-miR-149-3p		1		2			1								1				2	
hsa-miR-26b-5p	997.5	9077	11670	10121	797.5	1134	922.5	9319.5	7181	878.5	6624.5	10101	1670.5	7172.5	3304	3141	5807.5	1389	3329.5	774.5
hsa-miR-1255b-5p									1			1	1							
hsa-miR-5708		1	1				3												1	
hsa-miR-670-3p		1																		
hsa-miR-6715a-3p												1								
hsa-miR-3912-5p									1											
hsa-miR-1236-3p						2														
hsa-miR-573		1	8		3			5	2		1	1		3			2		2	
hsa-miR-4276				3									1							
hsa-miR-4680-3p												1								
hsa-miR-6812-3p	3		2	1	1	2	1	1	1	3	1	1	3		5	3				2
hsa-miR-4783-5p			2	2		1				2		1			1			1		
hsa-let-7g-5p	270.166666666667	3849.16666666667	7778.66666666665	4126.83333333334	390.666666666667	393.333333333333	305.5	3818.50000000001	3590.16666666667	223.333333333333	2470.5	5556.83333333333	679.5	2663.5	1128	1021.16666666667	2790	531.5	1286.5	291.333333333333
hsa-miR-660-3p		3	3	4		2		3	3		2	2		2		4	3		4	
hsa-miR-4757-3p				1										1	1		2		1	
hsa-miR-4731-3p	1		1			2							1			2	2	1	1	1
hsa-miR-3655				1																
hsa-miR-1202												1								
hsa-miR-765			1																	
